ficha,sku,description,uom_primary,piece_count,length_inches,width_inches,height_inches,weight_lbs,assembly,rate
452,1720823-0567,BIRCH YEL FAS 6/4 RGH KD 10FT,PALLET,95,120,44,34.00,3120.45,false,18.22
163,1720824-0891,HEMLOCK DIM 2X8X14FT #2BTR STD,BUNDLE,160,168,40,28.50,2975.30,false,14.85
589,1720825-0234,ASH WHT FAS 4/4 RGH KD 9-11FT,PALLET,110,132,46,40.00,3540.60,false,15.92
734,1720826-0412,MDF ULTRALT C1-- 2440X1220X18MM,BUNDLE,85,96,48,52.00,4250.75,false,13.44
298,1720827-0178,CHERRY BLK SEL 5/4 RGH KD 8FT,PALLET,70,96,42,26.00,1980.20,false,21.35
641,1720828-0923,REDWOOD CLR VG 2X4X10FT KD HRT,BUNDLE,225,120,38,32.00,2430.85,false,19.78
812,1720829-0056,PARTICLEBOARD IND 3/4X49X97,PALLET,60,97,49,45.00,3890.40,false,11.56
445,1720830-0789,ALDER RED SEL 4/4 RGH KD 8-10FT,BUNDLE,140,120,40,30.00,2180.55,false,17.64
127,1720831-0345,WHITE OAK QS 4/4 RGH KD 10FT,PALLET,65,120,48,38.00,2890.70,false,22.40
568,1720832-0612,SOUTHERN PINE PT 4X4X12FT GC,BUNDLE,130,144,44,48.00,5120.35,false,13.28
