unit_id,sku_code,description,uom,date_received
28114990,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114991,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114992,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114993,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114994,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114995,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114996,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114997,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114998,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28114999,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28115000,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28115001,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28115002,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28115003,589,ASH WHT FAS 4/4 RGH KD 9-11FT,PC,2025-11-24
28115004,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115005,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115006,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115007,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115008,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115009,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115010,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115011,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115012,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115013,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115014,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115015,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115016,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115017,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115018,445,ALDER RED SEL 4/4 RGH KD 8-10FT,PC,2025-11-24
28115019,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115020,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115021,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115022,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115023,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115024,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115025,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115026,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115027,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115028,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115029,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115030,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115031,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115032,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115033,452,BIRCH YEL FAS 6/4 RGH KD 10FT,PC,2025-11-24
28115034,734,MDF ULTRALT C1-- 2440X1220X18MM,PC,2025-11-24
28115035,734,MDF ULTRALT C1-- 2440X1220X18MM,PC,2025-11-24
28115036,734,MDF ULTRALT C1-- 2440X1220X18MM,PC,2025-11-24
28115037,734,MDF ULTRALT C1-- 2440X1220X18MM,PC,2025-11-24
28115038,734,MDF ULTRALT C1-- 2440X1220X18MM,PC,2025-11-24
